dataset,variable,source,URL,start_date,end_date,resolution,unit,timezone,actual_or_planned,raw_or_processed,missing_values,quality,notes
Elering system archive,consumption (SCADA),Elering,https://elering.ee/en/power-system,2003-01-01,2009-12-31,hourly (avg of 5-min SCADA),MW,"Europe/Tallinn (assumed - NOT yet confirmed against the raw file; could be UTC or local, unverified)",actual,raw,not yet inspected,Real measured,"File not yet opened - column names/exact convention unconfirmed. Static xls download."
Elering system archive,consumption (planned + actual),Elering,https://elering.ee/en/power-system,2010-01-01,2019-12-31,hourly (avg of 5-min SCADA),MW,Europe/Tallinn (CONFIRMED - source column literally labelled 'EET'),both,raw+processed,"CONFIRMED for 2019: 0 missing after correcting 25 rows with a source-file year typo (see notes)",Real measured,"CONFIRMED via 2019_arhiiv_0.xls (uploaded by project owner, opened with pandas/xlrd). Two sheets: 'fakt' (actual, 9 cols) and 'plaan' (planned, 16 cols incl. NTC by interconnection). 'fakt' columns (Estonian -> English): Tegelik tarbimine=actual consumption MW, Tegelik tootmine=actual generation MW, sh tuulikute tootmine=of which wind MW, Vahelduvvoolu saldo=AC balance MW (NOT part of the balance identity - do not add), Füüsilised vood EE->FI/RU/LV=physical flows MW (positive=EE exporting). 2 real data-quality issues found+corrected with full log: (1) 25 rows had year '2018' typo'd instead of '2019' (2019-10-30 23:00 through 2019-10-31 23:00 - confirmed pure typo via absence of any pre-existing correct 2019-10-31 rows); (2) genuine DST fall-back duplicate at 2019-10-27 03:00, explicitly resolved (first=EEST, second=EET), NOT silently dropped or averaged."
Elering system archive,generation total,Elering,https://elering.ee/en/power-system,2003-01-01,2019-12-31,hourly (avg of 5-min SCADA),MW,Europe/Tallinn (CONFIRMED for 2019),actual,raw+processed,CONFIRMED for 2019: 0 missing,Real measured,"CONFIRMED for 2019 (8760/8760 hours). Only WIND is disaggregated from the total in this file ('sh tuulikute tootmine'); oil shale/gas/solar/hydro/biomass/waste are NOT separated. 2003-2009 and 2020+ files not yet opened - this confirmation applies to 2019 only."
Elering system archive,cross-border flow EE-FI (Estlink 1+2),Elering,https://elering.ee/en/power-system,2003-01-01,2019-12-31,hourly,MW,Europe/Tallinn (CONFIRMED for 2019),actual,raw+processed,CONFIRMED for 2019: 0 missing,Real measured,"CONFIRMED for 2019. Sign convention verified by closing the balance identity to 0.0026% of demand: positive = EE exporting TO the named country, negative = EE importing FROM it. 2019 range: -1002 to +1033 MW (matches the ~1000-1016 MW NTC figures documented elsewhere in this catalogue)."
Elering system archive,cross-border flow EE-RU,Elering,https://elering.ee/en/power-system,2003-01-01,2019-12-31,hourly,MW,Europe/Tallinn (CONFIRMED for 2019),actual,raw+processed,CONFIRMED for 2019: 0 missing,Real measured,"CONFIRMED for 2019 - a genuine physical AC connection to Russia existed at this time (pre Feb-2025 desynchronization from the Russian/Belarusian grid). NOT modelled in C_configs/estonia.yaml (Section 3 of docs/system_definition.md explicitly scopes this out for the CURRENT system) - present here only because 2019 is a real historical dataset that includes it."
Elering system archive,cross-border flow EE-LV,Elering,https://elering.ee/en/power-system,2003-01-01,2019-12-31,hourly,MW,Europe/Tallinn (CONFIRMED for 2019),actual,raw+processed,CONFIRMED for 2019: 0 missing,Real measured,"CONFIRMED for 2019. Same AMR measurement chain as EE-FI. 2019 range: -543 to +824 MW."
Elering dashboard API,Nord Pool day-ahead price (EE),Elering,https://dashboard.elering.ee/api/nps/price,unknown - not yet verified,current,hourly,EUR/MWh,unknown - not yet verified,actual,raw,none observed in spot-check,Real measured,"Confirmed working via third-party example query; this project has not yet queried it directly. No API key required."
Elering dashboard API,production/consumption by technology,Elering,https://dashboard.elering.ee/assets/api-doc.html,unknown,unknown,unknown,unknown,unknown,unknown,raw,unknown,unknown,"BLOCKING OPEN ITEM: exact endpoint not yet confirmed. Swagger docs exist but page is JS-rendered and has not been fully enumerated by this project yet."
Elering web page (point-in-time),annual demand 2024,Elering,https://elering.ee/en/electricity-consumption-and-generation,2024-01-01,2024-12-31,annual,MWh,n/a (annual total),actual,raw,none,Real measured,"8.26 TWh/year, includes network losses. Already used in B_data/raw/elering/electricity_balance_annual.csv."
Elering web page (point-in-time),peak demand (all-time record),Elering,https://elering.ee/en/electricity-consumption-and-generation,2026-02-05,2026-02-05,instantaneous,MW,unknown - not yet verified,actual,raw,none,Real measured,"1723 MW at 10:25 on 5 Feb 2026. Already used in C_configs/estonia.yaml."
Elering web page (point-in-time),installed capacity by technology,Elering,https://elering.ee/en/electricity-consumption-and-generation,2025-01-01,2025-01-01,point-in-time,MW,n/a,actual,raw,none,Real measured,"Wind 695 MW, solar 1210 MW, total 3473 MW net, start of 2025. Already used in C_configs/estonia.yaml."
Elering press release,Q3 2025 renewable generation by technology,Elering,https://elering.ee/en/article/renewable-energy-covered-more-third-consumption-third-quarter-year,2025-07-01,2025-09-30,quarterly,MWh,n/a (period total),actual,raw,none,Real measured,"Wind 139 GWh, solar 261 GWh, biomass/biogas/waste 219 GWh. Already used in B_data/raw/elering/generation_by_technology_quarterly.csv."
Statistics Estonia KE21,production/imports/exports/sale,Statistics Estonia,https://andmed.stat.ee/en/stat/majandus__energeetika__energia-tarbimine-ja-tootmine__luhiajastatistika/KE21,unknown - not yet checked,current,monthly,unknown - not yet checked (likely MWh or GWh),unknown,actual,raw,unknown,Statistical,"Since 2023, hydro/wind/solar columns are themselves sourced from Elering (see data_taxonomy.md) - not fully independent of Elering from that date onward."
ENTSO-E Transparency Platform,load / generation / cross-border flows / installed capacity,ENTSO-E,https://transparency.entsoe.eu,unknown - Estonia's exact ENTSO-E reporting start date not yet confirmed,current,hourly/monthly/yearly,MW / MWh,unknown - not yet checked,both,raw,unknown,Real measured,"Independent cross-check source, not primary. Full endpoint list not yet enumerated by this project."
