from_bus,to_bus,path_length_km,voltage_kv
sub_122061788,sub_30222062,2.7,110.0
sub_180118919,sub_30222062,35.54,110.0
sub_205980356,sub_30222062,130.36,110.0
sub_290177759,sub_30222062,144.67,110.0
sub_30222062,sub_35367480,152.11,110.0
sub_30222062,sub_35594697,135.7,110.0
sub_30222062,sub_35451776,206.06,110.0
sub_1473331965,sub_30222062,231.81,110.0
sub_263282453,sub_30222062,217.3,110.0
sub_139400061,sub_30222062,165.42,110.0
sub_262584305,sub_30228363,5.8,110.0
sub_262457166,sub_34685113,35.45,110.0
sub_34685113,sub_35420117,100.31,110.0
sub_34882447,sub_34903268,20.47,110.0
sub_34882447,sub_35343353,27.35,110.0
sub_34882447,sub_35343350,74.33,110.0
sub_34903268,sub_35343353,11.56,110.0
sub_34903268,sub_35343350,58.54,110.0
sub_34920683,sub_35555173,7.61,110.0
sub_34920687,sub_34920702,22.39,110.0
sub_34920687,sub_35367491,35.99,110.0
sub_34920687,sub_35367492,74.73,110.0
sub_34920687,sub_34920713,44.81,110.0
sub_262671975,sub_34920691,19.6,110.0
sub_34920691,sub_34920699,9.94,110.0
sub_34920691,sub_35555161,24.12,110.0
sub_34920691,sub_35555163,31.31,110.0
sub_34920691,sub_35555165,55.11,110.0
sub_34920699,sub_35555161,15.46,110.0
sub_34920699,sub_35555163,22.65,110.0
sub_34920699,sub_35555165,46.45,110.0
sub_262671975,sub_34920699,21.78,110.0
sub_34920702,sub_35367491,49.8,110.0
sub_34920702,sub_34920713,31.66,110.0
sub_34920702,sub_35367492,61.44,110.0
sub_34920713,sub_35367492,30.18,110.0
sub_34920713,sub_35367491,67.9,110.0
sub_34968246,sub_34968251,6.98,110.0
sub_34968274,sub_34968276,7.87,110.0
sub_34988502,sub_35594731,14.62,110.0
sub_34988502,sub_34988535,16.86,110.0
sub_1119253850,sub_34988502,20.48,110.0
sub_34988502,sub_35450920,68.93,110.0
sub_34988502,sub_35450930,115.25,110.0
sub_34988502,sub_35450919,94.1,110.0
sub_34988518,sub_34988522,6.27,110.0
sub_34988525,sub_34988527,18.85,110.0
sub_34988525,sub_34988531,25.81,110.0
sub_34988527,sub_34988531,12.16,110.0
sub_1119253850,sub_34988535,5.67,110.0
sub_34988535,sub_35594731,31.22,110.0
sub_34988535,sub_35450920,85.53,110.0
sub_34988535,sub_35450930,131.85,110.0
sub_34988535,sub_35450919,110.7,110.0
sub_35022082,sub_35022087,35.18,110.0
sub_35022089,sub_35022100,37.9,110.0
sub_35343350,sub_35343353,49.84,110.0
sub_263282454,sub_35367472,19.05,110.0
sub_139400061,sub_35367480,29.13,110.0
sub_205980356,sub_35367480,26.95,110.0
sub_180118919,sub_35367480,116.85,110.0
sub_290177759,sub_35367480,41.26,110.0
sub_122061788,sub_35367480,152.61,110.0
sub_35367480,sub_35594697,32.29,110.0
sub_35367480,sub_35451776,102.65,110.0
sub_1473331965,sub_35367480,128.4,110.0
sub_263282453,sub_35367480,113.89,110.0
sub_35367491,sub_35367492,40.1,110.0
sub_35379726,sub_35384058,7.91,110.0
sub_204914596,sub_35379726,19.42,110.0
sub_204914596,sub_35384058,14.73,110.0
sub_35384083,sub_35555166,28.35,110.0
sub_35384083,sub_35555171,14.09,110.0
sub_262457166,sub_35420117,65.6,110.0
sub_263235177,sub_35445334,13.17,110.0
sub_35445334,sub_35445335,86.24,110.0
sub_182774903,sub_35445334,33.97,110.0
sub_182774903,sub_35445335,53.71,110.0
sub_263235177,sub_35445335,73.43,110.0
sub_35445346,sub_35594688,45.18,110.0
sub_35445348,sub_35450872,38.97,110.0
sub_35445348,sub_35445352,26.18,110.0
sub_35445352,sub_35450872,14.43,110.0
sub_35445361,sub_35450875,31.6,110.0
sub_263962720,sub_35445361,37.16,110.0
sub_263962720,sub_35450875,6.0,110.0
sub_35450919,sub_35450930,24.89,110.0
sub_35450919,sub_35450920,25.25,110.0
